student_id,date,study_week,mood_score_avg,happy_avg,sad_avg,mood1_score_avg,mood2_score_avg,num_mood_surveys,stress_avg,stress_max,num_stress_surveys,sleep_hours,sleep_rate,sleep_category,exercised_today,walked_today,exercise_intensity,social_avg,social_max,total_talking_minutes,num_conversations,unique_devices_nearby,total_bt_scans,fraction_walking,fraction_stationary,fraction_running,day_of_week,is_weekend
u00,2013-03-27,,,,,,,,1.0,1.0,1.0,6.0,2.0,5 to 7h,,,,3.5,4.0,424.3833333333333,26.0,37.0,125.0,0.09324155193992491,0.8342928660826032,0.04543178973717146,2,False
u00,2013-03-28,,,,,,,,3.1666666666666665,4.0,6.0,8.0,1.0,7 to 9h,,,,,,384.8666666666667,29.0,31.0,128.0,0.06490765171503958,0.8952506596306069,0.0158311345646438,3,False
u00,2013-03-29,,,,,,,,2.0,4.0,3.0,8.0,1.0,7 to 9h,,,,4.0,4.0,514.8833333333333,35.0,40.0,93.0,0.11336590254290367,0.8399098083427283,0.012526619065514218,4,False
u00,2013-03-30,,,,,,,,4.0,4.0,1.0,,,,,,,4.0,4.0,608.4000000000001,18.0,4.0,20.0,0.0867039586919105,0.8780120481927711,0.0068846815834767644,5,True
u00,2013-03-31,,,,,,,,4.5,5.0,2.0,9.0,2.0,7 to 9h,,,,2.0,2.0,415.65,23.0,,,0.06914893617021277,0.8369619000494805,0.07570509648688768,6,True
u00,2013-04-01,,,,,,,,,,,3.0,4.0,under 5h,False,True,2.0,2.0,2.0,509.6166666666667,27.0,35.0,120.0,0.06625,0.90225,0.014375,0,False
u00,2013-04-02,,,,,,,,1.5,2.0,2.0,,,,True,True,2.5,,,444.1,41.0,6.0,10.0,0.03175,0.885375,0.042125,1,False
u00,2013-04-03,,,,,,,,2.5,4.0,2.0,5.0,3.0,under 5h,False,False,1.0,2.6666666666666665,3.0,513.9666666666667,30.0,37.0,114.0,0.07389040416563353,0.880238036201339,0.016612943218447807,2,False
u00,2013-04-04,,,,,,,,2.3333333333333335,4.0,3.0,10.0,2.0,over 9h,True,,4.0,,,278.95,28.0,26.0,37.0,0.057561221913658166,0.884751325422873,0.03685937894471093,3,False
u00,2013-04-05,,,,,,,,1.3333333333333333,2.0,3.0,4.0,1.0,under 5h,True,True,2.5,4.5,5.0,650.8000000000001,27.0,,,0.08166899885510749,0.849383030148836,0.008395878386973667,4,False
